stop_id,stop_name,stop_desc,stop_lat,stop_lon
8915,"Teren Sport","DJ 101",44.585925,26.016253
8416,"Primaverii","DJ 101A, Ilfov",44.591117,26.026129
8492,"Primaria Corbeanca","DJ 101, Ilfov",44.594104,26.037774
8453,"Policlinica","DJ 101, Ilfov",44.594142,26.042316
8489,"Arcadei","DJ 101, Ilfov",44.59616,26.050711
8417,"Penny","DJ 101, Ilfov",44.598259,26.059444
8418,"Sat Petresti","DJ 101, Ilfov",44.601594,26.066443
9383,"Petresti (Mega Image)","DJ 101",44.601156,26.070593
7744,"Petresti","DN1, Ilfov",44.601923,26.071779
8806,"Unirii","DN1, Ilfov",44.608591,26.072327
8456,"Politia Balotesti","DJ 101, Ilfov",44.610189,26.074039
8420,"Autoconf Textile","DJ 101, Ilfov",44.613243,26.079169
8421,"Tarina Veche","DJ 101, Ilfov",44.617287,26.085867
9384,"Ferma","Dj 101",44.619708,26.093749
9385,"Filatura","DJ 101",44.620949,26.099756
8442,"Stupinei","DJ 101, Ilfov",44.621474,26.102169
8501,"Scoala Nr 2","DJ 101, Ilfov",44.623211,26.110425
9386,"Lunii","DJ 101",44.622325,26.114374
9388,"Unitatii","DJ 101",44.620607,26.123834
9390,"Narciselor","DJ 101",44.62217,26.131568
9392,"Ansamblul Rezidential Vilaggio S","DJ101",44.624014,26.140736
8990,"Virtutii","DJ 101",44.62783,26.159334
8991,"Palatul Ghica","DJ101",44.627029,26.170607
9011,"Gradinita Caciulati","Sos. Unirii",44.628222,26.17689
8992,"Academiei","DJ101",44.63203,26.178801
8993,"Agromec","DJ101",44.635744,26.19163
8994,"Pascani","DJ101",44.640743,26.20109
8995,"Scoala I","DJ101",44.640536,26.210677
8996,"Garii","DJ101",44.640513,26.214629
8997,"Regele Ferdinand I","DJ 101",44.642468,26.2227
9012,"Scoala II","DJ101",44.643512,26.226642
8600,"Moara Vlasiei","Com. Moara Vlasiei, Ilfov",44.645115,26.231268
9013,"Ion Creanga","DJ 101",44.648739,26.238712
8777,"Intrare Gradistea","DJ 101, Ilfov",44.660619,26.280477
