route_id,agency_id,route_short_name,route_type,route_color,route_text_color,route_long_name
43,1,1,3,e36c09,ffffff,
44,1,2-43,3,e5b9b7,ffffff,
45,1,3,3,1f497d,ffffff,
47,1,5-40,3,c0504d,ffffff,
48,1,5b,3,9bbb59,ffffff,
50,1,42,3,4bacc6,ffffff,
60,1,44,3,00b050,ffffff,
59,1,48,3,953734,ffffff,
58,1,51,3,7030a0,ffffff,
57,1,100,3,205867,ffffff,
42,1,101,3,76923c,ffffff,
54,1,102N,3,7030a0,ffffff,
53,1,102P,3,17365d,ffffff,
